county,state,fips,code,flag,population
Henderson,North Carolina,37089,NC, ,117417
Potter,Texas,48375,TX, ,117415
Lowndes,Georgia,13185,GA, ,117406
Oswego,New York,36075,NY, ,117124
Windham,Connecticut,9015,CT, ,116782
Wayne,Ohio,39169,OH, ,115710
Sheboygan,Wisconsin,55117,WI, ,115340
Flagler,Florida,12035,FL, ,115081
Gallatin,Montana,30031,MT, ,114434
Fayette,Georgia,13113,GA, ,114421
Delaware,Indiana,18035,IN, ,114135
Pennington,South Dakota,46103,SD, ,113775
Calhoun,Alabama,1015,AL, ,113605
St. Mary's,Maryland,24037,MD, ,113510
Lycoming,Pennsylvania,42081,PA, ,113299
Newton,Georgia,13217,GA, ,111744
Douglas,Oregon,41019,OR, ,110980
Hardin,Kentucky,21093,KY, ,110958
Navajo,Arizona,4017,AZ, ,110924
Cowlitz,Washington,53015,WA, ,110593
Terrebonne,Louisiana,22109,LA, ,110461
Craighead,Arkansas,5031,AR, ,110332
Eaton,Michigan,26045,MI, ,110268
LaPorte,Indiana,18091,IN, ,109888
Kankakee,Illinois,17091,IL, ,109862
Jefferson,New York,36045,NY, ,109834
Ontario,New York,36069,NY, ,109777
Mercer,Pennsylvania,42085,PA, ,109424
Albemarle,Virginia,51003,VA, ,109330
LaSalle,Illinois,17099,IL, ,108669
Matanuska-Susitna Borough,Alaska,2170,AK, ,108317
Androscoggin,Maine,23001,ME, ,108277
Bradley,Tennessee,47011,TN, ,108110
Hanover,Virginia,51085,VA, ,107766
St. Lawrence,New York,36089,NY, ,107740
Bartow,Georgia,13015,GA, ,107738
Yamhill,Oregon,41071,OR, ,107100
Vigo,Indiana,18167,IN, ,107038
Miami,Ohio,39109,OH, ,106987
Sumter,South Carolina,45085,SC, ,106721
Madison,Mississippi,28089,MS, ,106272
Highlands,Florida,12055,FL, ,106221
Houston,Alabama,1069,AL, ,105882
Cass,Missouri,29037,MO, ,105780
Monongalia,West Virginia,54061,WV, ,105612
Warren,New Jersey,34041,NJ, ,105267
Carver,Minnesota,27019,MN, ,105089
Rockwall,Texas,48397,TX, ,104915
DeKalb,Illinois,17037,IL, ,104897
Eau Claire,Wisconsin,55035,WI, ,104646
Whitfield,Georgia,13313,GA, ,104628
Platte,Missouri,29165,MO, ,104418
Macon,Illinois,17115,IL, ,104009
Franklin,Missouri,29071,MO, ,103967
Walworth,Wisconsin,55127,WI, ,103868
Flathead,Montana,30029,MT, ,103806
Wicomico,Maryland,24045,MD, ,103609
Fond du Lac,Wisconsin,55039,WI, ,103403
Bay,Michigan,26017,MI, ,103126
Woodbury,Iowa,19193,IA, ,103107
Adams,Pennsylvania,42001,PA, ,103009
Cecil,Maryland,24015,MD, ,102855
Allen,Ohio,39003,OH, ,102351
Etowah,Alabama,1055,AL, ,102268
